group,key_word,count,cum_count,segment
1,銀離子口罩,99,9873206,6
1,烘碗機,14499,380199,1
1,穿鞋椅鞋櫃,376,6804655,4
1,綜合堅果,788,5045608,3
1,露營裝飾燈,211,8228476,5
1,sf-m128t,18,13000226,8
1,chefrun,13,13574718,8
1,萊威,12,13652666,8
1,n95醫療口罩,5315,1427425,1
1,arpha,269,7596213,5
1,apple watch無線充電,4,15354807,9
1,soft99 3000,8,14314383,9
1,涼被抱枕,1,17370876,10
1,fsp hydro ptm pro,1,16951837,10
1,地產大亨,1394,3814548,3
1,大通行車導航,3,15699887,9
1,canon+16-35+f2.8,15,13272200,8
1,洗衣精,4879,1544255,1
1,ringke iphone 13 mini,26,12388956,8
1,後背包,5252,1448481,1
1,幼幼平面口罩 環保,1,17187423,10
1,記憶卡,4656,1625238,1
1,手機外接鏡頭,297,7360783,5
1,辛拉麵,1469,3707148,3
1,生活紅茶,18,13051040,8
1,胎壓偵測器,1993,3057421,2
1,gogoro,1340,3897806,3
1,電子秤,4709,1615893,1
1,春風衛生紙,2054,2998746,2
1,時鐘掛鐘,320,7185511,5
1,chico成長型安全座椅,4,15438647,9
1,realme,3439,2078142,2
1,calvin klein 男內褲,95,9951092,6
1,asen usb,10,14035378,9
1,頂天立地,1919,3137409,2
1,大容量水壺,193,8432577,5
1,iphone 13 pro,9870,724411,1
1,華碩 鍵盤,19,12938186,8
1,重複飛機杯,12,13729742,8
1,小米 usb type-c,37,11756459,7
1,ipad9 保護殼,225,8091041,5
1,掛畫,521,6036826,4
1,車用平板架,214,8201488,5
1,萬年曆掛鐘,12,13653290,8
1,肉乾 真空,7,14658247,9
1,巧克力,4584,1652899,1
1,鬆餅、三明治機,168,8741435,6
1,anycast,886,4806155,3
1,b450,69,10589037,7
1,雷蛇,1691,3400166,2
2,sm-se48,95,9954607,6
2,》巴布超大容量腳踏式垃圾桶80l,1,17296485,10
2,【 aiwa 日本愛華 】真無線藍牙耳機 at-x80j,2,16764373,10
2,吹塵球,342,7038596,5
2,鞋把,149,9002913,6
2,瓦斯罐,1400,3804776,3
2,summer寶石,5,15124241,9
2,康乃馨 衛生棉,40,11612133,7
2,10t pro,57,10943285,7
2,mx808,2,16672159,10
2,al.bear lightning充電線輸線3m,1,17018550,10
2,兒童 手錶,59,10896642,7
2,馬克杯架,176,8645741,5
2,3d醫療口罩,575,5812226,4
2,木地板拖把,81,10266101,6
2,lg吸塵器配件,44,11452194,7
2,bmw 2at 中央扶手,3,16023869,10
2,投影燈,186,8518890,5
2,samsung galaxy s20+,58,10929173,7
2,米字 起子,1,16951548,10
2,防水後背包,1189,4149938,3
2,前級擴大+dac,35,11838688,7
2,dyah93-a900a8ng7,254,7783882,5
2,子母扣,400,6646750,4
2,emount sony,3,15910538,10
2,電茶壺,689,5371509,4
2,under armour,2053,3000799,2
2,iphone 13保護貼,109,9662463,6
2,詹粉,386,6733724,4
2,"手機包,斜背包",384,6752982,4
2,口水巾,6427,1236178,1
2,寵物衣服,738,5196319,3
2,cheetos 辣,15,13367510,8
2,第一石鹼 馬桶清潔劑 500mlx2入,1,16935262,10
2,casio dw,29,12154795,7
2,寵物床,855,4888893,3
2,plantur,143,9099245,6
2,dyah2n-a900awxsn,262,7668529,5
2,咖啡即溶,6,14842034,9
2,和美浴簾,108,9691130,6
2,掛衣架,2703,2499910,2
2,dyson,5419,1411314,1
2,ups,3784,1952752,2
2,層架,2607,2563601,2
2,燈泡,2124,2931801,2
2,外接式軟碟機,5,15120356,9
2,soundbar,4296,1741305,1
2,美國預付卡,407,6606420,4
2,wds500g2b0b,6,14846324,9
2,氣墊床,282,7483003,5
3,舒酸定,1438,3755085,3
3,套筒,436,6436582,4
3,泡棉,119,9477373,6
3,smartist 高白影印紙a4 70g (5包/箱),12,13733198,8
3,毛拖鞋,687,5374947,4
3,磨豆機,3617,2004401,2
3,jordan1,234,7992973,5
3,asus電腦,44,11423462,7
3,分類垃圾桶,513,6072467,4
3,甩棍,88,10108790,6
3,casio 手錶,2137,2910507,2
3,canon mx416,1,17096434,10
3,音樂書,34,11873850,7
3,aka 90公分,2,16543717,10
3,審判之眼,98,9896217,6
3,電腦桌,18664,280611,1
3,ipad,8425,915070,1
3,茶水分離,462,6309084,4
3,小米耳機,2773,2458855,2
3,dyah5d-a900aerpq,256,7752986,5
3,nike jordan 女鞋,96,9942126,6
3,兒童口罩韓國,34,11924442,7
3,樹德 桌上櫃,1,17345998,10
3,浴室收納,548,5919971,4
3,關門器,445,6388521,4
3,遠紅外線 手套,11,13826715,8
3,轉角空間衣架,24,12511778,8
3,充電,388,6724817,4
3,apple watch 錶帶,3188,2196925,2
3,gshock,1024,4476938,3
3,65up8050psb,52,11131833,7
3,eqt,151,8979059,6
3,刮鬍刀,4858,1558855,1
3,zenfone 7 pro 256g,1,17263988,10
3,超音波眼鏡清洗機,11,13907532,8
3,s20 fe,2768,2464395,2
3,天梭tissot seastar 1000,28,12228941,7
3,羽絨外套,6124,1273742,1
3,電動牙刷架,173,8675228,5
3,瓦斯爐,2745,2478175,2
3,紫外線烘鞋機,94,9979288,6
3,瞬熱式開飲機,19,12882421,8
3,琣伯莉,154,8941160,6
3,洗澡椅,979,4575064,3
3,密保諾,133,9240946,6
3,小米 打氣機,95,9950142,6
3,dyson 濕拖,1,16873062,10
3,韓國去角質,6,14916146,9
3,馬油,1082,4354115,3
3,收納線材,14,13396109,8
4,砂鍋,760,5125244,3
4,不鏽鋼浴室置物架,2296,2775674,2
4,尿垢清潔,41,11570833,7
4,即享,1746,3331367,2
4,防皺襯衫,199,8361045,5
4,57n7,35,11844848,7
4,麥當勞,4523,1675604,1
4,百景宴年菜,5,15209736,9
4,後視鏡 超廣角 行車記錄器,16,13169099,8
4,鍵盤保護膜,680,5393386,4
4,電子琴,1892,3158333,2
4,adisi】男防風透氣保暖背心,4,15510583,9
4,3d口罩,1855,3210828,2
4,除毛儀,619,5628506,4
4,abel板夾,15,13354595,8
4,露營行動電源,64,10741229,7
4,桌子,2404,2731194,2
4,樂歌,91,10048273,6
4,dyson v11 收納架,10,13937498,8
4,沙發,4578,1657477,1
4,stormtech,175,8652053,5
4,即期品,728,5230763,3
4,米沃奇,150,8986742,6
4,in+win+迎廣-mg134-機殼,2,16638683,10
4,buddyrider,18,13027874,8
4,rog strix b550-e,3,15802529,10
4,保溫壺,3446,2067818,2
4,奶嘴繩,32,12005304,7
4,禮券,591,5744015,4
4,光碟機,2049,3004897,2
4,室內增高拖鞋,6,14777282,9
4,樂高,7059,1068115,1
4,se2722h,57,10938725,7
4,壓克力盒,196,8391530,5
4,玻璃靜電貼,514,6064255,4
4,可攜螢幕,507,6095928,4
4,trail broken,3,15695759,9
4,玻璃隨身水瓶 280ml,1,17362667,10
4,助聽器,431,6463884,4
4,監視器,7739,987203,1
4,平板電腦,7847,971648,1
4,play,1161,4221677,3
4,白背景,4,15477723,9
4,gf63 thin 11sc-066,117,9526926,6
4,微波爐,13483,421585,1
4,短腿ㄚ鹿,64,10722861,7
4,鈦鍋,866,4858756,3
4,印刷,7,14486250,9
4,拾貳食品,79,10327963,6
4,srs xb33,4,15684451,9
5,空氣 床墊,2,16266625,10
5,zippo打火機,1146,4253985,3
5,馬玉山,1278,3993206,3
5,螺肉,222,8124295,5
5,fenix手電筒,772,5083849,3
5,8g 3200 筆記,2,16773061,10
5,羅技g pro,45,11395283,7
5,黃 雙 被套,4,15253611,9
5,羽衣甘藍青汁,16,13247099,8
5,【looca】太空釋壓11cm記憶床墊-,2,16812583,10
5,理膚寶水 多容安舒敏溫和潔膚乳 50ml【贈品】,6,14836250,9
5,無印良品餐墊,6,14866868,9
5,微動,39,11647895,7
5,八寶粥,736,5205161,3
5,花架,1894,3156441,2
5,uag iphone 13,454,6350754,4
5,加熱杯墊,4313,1732698,1
5,cerave,839,4926195,3
5,b群發泡錠,4,15390703,9
5,加長褲襪,29,12175704,7
5,新自然輸入法v12 windows 專業版,1,17464412,10
5,songen松井 陶瓷溫控立式暖氣機/電暖器 kr-909t,17,13071083,8
5,手機三合一充電線,15,13319840,8
5,mj-e195hm,156,8903857,6
5,adidas,3429,2085008,2
5,無痕雙面膠帶,32,12037240,7
5,【zojirushi】象印500c.cslit不鏽鋼輕巧保冷瓶(含護套)st-ra50,2,16777383,10
5,幫寶適,4456,1684531,1
5,洗脫烘,1383,3828443,3
5,尚朋堂,167,8755675,6
5,防噪音耳塞,150,8992592,6
5,麥多多mcdodo gan氮化鎵65w,68,10622366,7
5,scosche,214,8197208,5
5,鈦餐具,413,6573202,4
5,ipad懶人支架,272,7557493,5
5,aukey 行動電源,357,6931274,4
5,標籤機brother 300,4,15352535,9
5,妙潔,730,5222014,3
5,l11s6y01,4,15524355,9
5,杏壽郎,9,14220492,9
5,yeezy,171,8707396,5
5,小米9充電線,1,17205174,10
5,n95,6773,1150744,1
5,台灣gmp工廠製造75%,10,13961708,8
5,耳機架,1539,3609462,3
5,discovery,199,8370597,5
5,聖誕裝飾,4727,1597043,1
5,mp4,355,6941598,4
5,濾水架,11,13844227,8
5,急救箱,308,7276353,5
